Date,Adj Close,Open,High,Low,Close,Volume
2009-12-31,1681.68,2913.5,2929.0,2892.0,2910.5,606488
2010-01-04,1699.3,2912.0,2946.0,2912.0,2941.0,2091679
2010-01-05,1679.94,2936.0,2949.5,2901.0,2907.5,2869739
2010-01-06,1661.16,2909.0,2909.0,2850.5,2875.0,3136541
2010-01-07,1681.68,2879.0,2925.5,2879.0,2910.5,3748200
2010-01-08,1680.52,2921.0,2927.5,2889.5,2908.5,2473846
2010-01-11,1707.39,2920.0,2955.0,2901.0,2955.0,4512854
2010-01-12,1692.08,2962.0,2969.0,2922.0,2928.5,4722582
2010-01-13,1711.43,2920.0,2973.0,2912.0,2962.0,6206108
2010-01-14,1744.94,2975.0,3027.5,2963.0,3020.0,5624164
2010-01-15,1733.68,3013.0,3025.0,2999.0,3000.5,6391473
2010-01-18,1742.92,3002.5,3027.0,2992.5,3016.5,3212094
2010-01-19,1772.39,3023.0,3076.0,2993.0,3067.5,4513165
2010-01-20,1764.3,3080.0,3104.5,3043.0,3053.5,6259279
2010-01-21,1781.35,3095.5,3136.0,3077.0,3083.0,8208495
2010-01-22,1767.48,3067.0,3088.0,3050.5,3059.0,5434386
2010-01-25,1765.46,3061.0,3062.0,3027.0,3055.5,3657609
2010-01-26,1792.61,3040.0,3102.5,3030.0,3102.5,4142973
2010-01-27,1759.39,3070.0,3084.0,3034.5,3045.0,4190005
2010-01-28,1678.5,3056.0,3067.0,2879.0,2905.0,13161219
2010-01-29,1682.54,2914.5,2930.0,2871.0,2912.0,5582461
2010-02-01,1696.12,2909.5,2955.5,2900.0,2935.5,4185501
2010-02-02,1693.52,2938.0,2942.0,2908.0,2931.0,4766685
2010-02-03,1694.36,2835.0,2849.5,2813.5,2827.0,4127933
2010-02-04,1671.88,2827.5,2827.5,2781.0,2789.5,5004972
2010-02-05,1637.42,2781.5,2786.5,2729.5,2732.0,5405001
2010-02-08,1666.19,2734.0,2790.0,2732.5,2780.0,4471430
2010-02-09,1687.47,2794.0,2843.5,2786.5,2815.5,6201001
2010-02-10,1694.36,2829.5,2837.0,2802.0,2827.0,2796022
2010-02-11,1695.26,2846.0,2866.0,2812.5,2828.5,3786563
2010-02-12,1666.49,2822.5,2842.5,2780.5,2780.5,4061769
2010-02-15,1677.88,2800.0,2823.5,2781.0,2799.5,4467754
2010-02-16,1670.39,2803.0,2814.0,2769.0,2787.0,5061327
2010-02-17,1674.88,2785.0,2802.0,2770.5,2794.5,5355020
2010-02-18,1676.68,2793.0,2810.5,2783.5,2797.5,4105048
2010-02-19,1696.16,2783.5,2836.0,2772.5,2830.0,5456961
2010-02-22,1684.17,2848.0,2849.5,2797.0,2810.0,4882147
2010-02-23,1688.37,2845.0,2852.0,2811.0,2817.0,5491350
2010-02-24,1688.67,2829.0,2831.5,2805.5,2817.5,4109759
2010-02-25,1684.17,2812.5,2850.5,2796.5,2810.0,4676770
2010-02-26,1728.22,2831.5,2897.0,2823.5,2883.5,6275689
2010-03-01,1755.49,2912.0,2952.5,2890.0,2929.0,5773305
2010-03-02,1778.57,2929.5,2970.5,2929.5,2967.5,5559299
2010-03-03,1778.57,2962.5,2969.0,2940.5,2967.5,3047374
2010-03-04,1789.96,2962.5,2988.0,2960.0,2986.5,3819453
2010-03-05,1795.35,2984.5,3000.0,2963.0,2995.5,3440785
2010-03-08,1769.88,2986.0,2990.0,2940.0,2953.0,5376032
2010-03-09,1768.68,2957.0,2959.0,2937.0,2951.0,3916877
2010-03-10,1768.08,2950.5,2962.0,2929.0,2950.0,4924446
2010-03-11,1757.89,2935.5,2955.0,2914.5,2933.0,3692717
2010-03-12,1751.3,2932.0,2939.0,2906.5,2922.0,3639880
2010-03-15,1748.6,2916.0,2929.5,2909.0,2917.5,3702068
2010-03-16,1744.71,2935.0,2936.0,2903.5,2911.0,3449202
2010-03-17,1735.42,2913.0,2917.5,2882.0,2895.5,3673258
2010-03-18,1744.41,2889.5,2933.0,2887.5,2910.5,5065037
2010-03-19,1763.29,2925.0,2960.0,2921.5,2942.0,7769255
2010-03-22,1780.07,2938.0,2985.0,2927.5,2970.0,5235574
2010-03-23,1779.47,2976.0,2986.0,2963.0,2969.0,2783140
